replicas,load_pct,aggregate_bw_gbps,latency_cycles,requested_request_gbps_per_node,request_gbps,response_gbps,label,log_path
1,60,69.79778,995.4694999999999,3.86,30.83941,38.95838,iter13,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load060_iter13_bw03p86.out
1,60,69.85961,998.7255000000001,3.86,30.86963,38.98998,iter04,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load060_iter04_bw03p86.out
1,60,69.92644,999.863375,3.86,30.89887,39.02757,iter10,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load060_iter10_bw03p86.out
1,60,69.9672,1000.9574999999999,3.86,30.91574,39.05147,iter14,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load060_iter14_bw03p86.out
1,60,70.02153,1005.26625,3.87,30.9416,39.07994,iter12,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load060_iter12_bw03p87.out
1,60,70.10866,1006.59125,3.87,30.978650000000002,39.13004,iter08,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load060_iter08_bw03p87.out
1,60,70.32696,1014.71625,3.88,31.07491,39.25205,iter11,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load060_iter11_bw03p88.out
1,60,70.42181,1019.33,3.89,31.11825,39.30355,iter06,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load060_iter06_bw03p89.out
1,60,70.86327,1041.595,3.91,31.31445,39.54882,iter02,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load060_iter02_bw03p91.out
1,60,72.1178,1121.0812500000002,3.98,31.86901,40.24882,iter05,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load060_iter05_bw03p98.out
1,60,72.6494,1160.1899999999998,4.01,32.101240000000004,40.54818,iter00,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load060_iter00_bw04p01.out
1,60,84.8177,5427.00125,5.59,37.4774,47.34049,right,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load060_right_bw05p59.out
1,70,6.735073,811.1920000000001,0.3,2.401027,4.334045,base,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load070_base_bw00p30.out
1,70,38.17348,908.7517500000001,1.7,13.59956,24.57393,left,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load070_left_bw01p70.out
1,70,56.79399,966.8791249999999,2.53,20.23651,36.55749,iter01,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load070_iter01_bw02p53.out
1,70,57.9539,963.4069999999999,2.58,20.65064,37.30326,iter03,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load070_iter03_bw02p58.out
1,70,58.61433,976.9962499999999,2.61,20.88601,37.72831,iter05,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load070_iter05_bw02p61.out
1,70,58.97991,984.7852500000001,2.63,21.01428,37.96565,iter07,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load070_iter07_bw02p63.out
1,70,59.18992,991.2119999999999,2.64,21.09153,38.09839,iter09,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load070_iter09_bw02p64.out
1,70,59.54133,996.4956249999999,2.65,21.21433,38.327,iter13,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load070_iter13_bw02p65.out
1,70,59.64703,998.5645,2.66,21.2534,38.39363,iter10,/Users/kevinshan/Documents/gt_classes/research/sst/cscore_sstelem/experiments/replica_count/logs/run_replica001_load070_iter10_bw02p66.out
